frame,tx,ty,tz,qx,qy,qz,qw,yaw,pitch,roll,projection
00000012,0.0,-0.0,-0.0,0.5,-0.5,0.5,0.5,-90.0,90.0,0.0,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000024,0.0,-0.0,-0.0,0.5,-0.5,0.5,0.5,-90.0,90.0,0.0,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000036,0.08983675,0.01733801,-0.029547665,-0.05860296,0.9804903,0.036608547,-0.18401864,-158.92786635424306,-2.902682691564186,-7.376715363749592,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000048,0.14239086,0.019399052,-0.07235164,-0.052862972,0.9575474,0.044086546,-0.2799346,-147.6082165525367,-3.16855463877065,-7.233904792233442,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000060,0.16858058,0.018187726,-0.092247844,-0.05051239,0.94232756,0.044801608,-0.32782042,-141.82173228826758,-2.964687387543244,-7.156051268068982,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000072,0.19447692,0.0134164505,-0.11629146,-0.047950126,0.9252684,0.047425784,-0.37327746,-136.2464725258517,-3.002002369340501,-7.131061568933533,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000084,0.25538743,0.008479404,-0.20665401,-0.036246836,0.8520446,0.059370875,-0.5188329,-117.55107937490088,-3.6723370664344404,-7.0869219501745135,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000096,0.27659544,0.0073022703,-0.284072,-0.029041857,0.78348196,0.0660961,-0.61721134,-103.7895670040942,-3.9148555735718262,-7.301931926118164,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000108,0.265131,0.007867992,-0.39277923,-0.021015774,0.66293675,0.072412804,-0.7448728,-83.59390710026008,-3.744451917181104,-7.801465925699556,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000120,0.2191207,0.006586653,-0.5055843,-0.009469874,0.5126169,0.07899619,-0.8549268,-62.167728502510634,-3.7548414307825038,-8.32458340865873,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000132,0.14624907,0.007432511,-0.58088446,0.0016580969,0.3694197,0.083244905,-0.9255284,-43.80669090153101,-3.746479049259332,-8.793050777911382,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000144,0.038835086,0.0059303083,-0.6380597,0.016595453,0.18440655,0.08614305,-0.97893,-21.641956001088737,-3.7342186252425353,-9.354090609508502,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000156,-0.07784909,0.0038907882,-0.64788145,0.026799753,7.029027E-4,0.08469896,-0.99604875,-0.3452915439993897,-3.1118163101767355,-9.71171509634055,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000168,-0.19211322,0.0031791124,-0.6247686,0.039540753,-0.17645504,0.08135311,-0.98014694,20.163086005488616,-2.8402870188328064,-9.987326438653719,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000180,-0.27278167,-0.0024212282,-0.56200093,0.045698285,-0.33958098,0.07604724,-0.9363862,39.69405423305732,-1.9745966677489935,-9.988802790908943,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000192,-0.34179333,-0.0026020594,-0.48395377,0.051596493,-0.48659506,0.06883654,-0.86938524,58.35872537739378,-1.3212821482883734,-9.782245754736625,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000204,-0.36024487,-5.7850406E-4,-0.38454473,0.05946986,-0.6073978,0.06035165,-0.7898704,75.01857932974661,-1.1991741233301514,-9.647358379350129,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000216,-0.3397268,-0.0018376783,-0.30303976,0.066118434,-0.6980661,0.05237277,-0.7110523,88.84229164852283,-1.2150504136475746,-9.60121386984778,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000228,-0.3468628,1.9180402E-4,-0.2530207,0.067004085,-0.7554165,0.047047794,-0.6501143,98.49336956776163,-0.9313876413451037,-9.346510843512814,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000240,-0.33955738,-0.0031237807,-0.2034756,-0.070838355,0.8083144,-0.04230603,0.5829462,108.33499805411154,-0.824585276579507,-9.430063548170272,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000252,-0.2883395,-0.0031544259,-0.13493419,-0.07245813,0.88433945,-0.031587288,0.4601106,124.97589611999727,-0.6271648263098494,-9.04571473563789,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000264,-0.25001654,-0.002359163,-0.0989293,-0.07288306,0.92241573,-0.0264545,0.37834287,135.3681769942892,-0.36798858528173006,-8.886332172054765,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000276,-0.19932811,-0.001057772,-0.06107019,-0.07565378,0.95807564,-0.015589222,0.27591717,147.81513624624,-0.6886898709477569,-8.83368178975053,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
00000288,-0.16458277,0.0025042724,-0.045209523,-0.074667975,0.97489583,-0.013907239,0.20932116,155.7457188810173,-0.240143185674578,-8.70859764432496,1.4902 0.0 0.0 0.0 0.0 3.0466316 0.0 0.0 0.001512431 0.009666785 -1.002002 -1.0 0.0 0.0 -0.2002002 0.0 
