frame_id,x,y,z,yaw,pitch,roll
00000000,0.006403,0.015802,0.011274,-87.195648,-120.016586,-170.748993
00000001,0.005945,0.015954,0.012425,-87.061882,-130.219406,-160.590210
00000002,-0.000813,0.015218,0.020202,-86.195435,-149.618393,-141.083023
00000003,-0.011510,0.015175,0.032578,-84.341751,-164.629303,-126.057198
00000004,-0.021494,0.015428,0.046998,-82.028534,-172.417664,-118.289558
00000005,-0.033048,0.016910,0.063052,-78.963112,-177.372208,-113.207184
00000006,-0.048214,0.019275,0.077050,-76.153839,-179.970566,-110.759773
00000007,-0.066409,0.020252,0.093545,-73.260033,178.204819,-108.891022
00000008,-0.075519,0.025199,0.114018,-69.720886,176.294678,-107.632973
00000009,-0.072109,0.029499,0.131566,-66.618645,175.270157,-107.015305
00000010,-0.083415,0.031818,0.147235,-63.348907,174.391449,-106.233315
00000011,-0.098947,0.031903,0.162529,-60.007755,173.559235,-105.451912
00000012,-0.116568,0.032084,0.179521,-56.368748,172.937439,-104.903915
00000013,-0.138961,0.033415,0.197644,-51.529541,172.176392,-104.405540
00000014,-0.156251,0.032927,0.219139,-47.272236,171.991196,-104.288567
00000015,-0.151359,0.030010,0.244553,-43.874870,171.974625,-104.053070
00000016,-0.177757,0.032072,0.260052,-38.763664,170.888382,-103.611191
00000017,-0.201716,0.032677,0.268509,-35.170414,171.157944,-103.473877
00000018,-0.227494,0.036092,0.285779,-31.189270,170.766953,-103.376213
00000019,-0.260274,0.036841,0.300622,-26.066118,170.652283,-103.287201
00000020,-0.295278,0.037787,0.307383,-20.468920,170.444000,-103.261864
00000021,-0.332496,0.037029,0.314411,-15.929045,170.432571,-103.215660
00000022,-0.345374,0.037357,0.322684,-13.331730,170.226578,-103.158615
00000023,-0.369204,0.034932,0.321262,-10.386001,170.554764,-103.100487
00000024,-0.391442,0.032831,0.324722,-7.448094,170.287369,-103.129173
00000025,-0.401923,0.032968,0.323154,-5.605703,169.762848,-103.052727
00000026,-0.407895,0.034342,0.318516,-4.539793,169.768585,-102.989388
00000027,-0.424597,0.036436,0.323790,-3.189888,169.287857,-102.975143
00000028,-0.438734,0.035445,0.323523,-1.261306,169.405411,-102.927025
00000029,-0.456522,0.036548,0.323770,0.869216,169.380249,-103.026222
00000030,-0.477472,0.034929,0.321881,3.970679,169.193710,-102.965034
00000031,-0.502827,0.034704,0.313832,7.788923,169.374023,-102.987846
00000032,-0.533037,0.033338,0.306879,12.250548,169.330963,-103.012787
00000033,-0.552110,0.033745,0.292700,16.911781,169.966278,-103.012909
00000034,-0.580687,0.034432,0.277633,21.464138,169.538437,-103.255074
00000035,-0.596529,0.032630,0.271645,24.496990,168.670898,-103.656494
00000036,-0.599718,0.033120,0.273022,24.345346,168.017136,-103.746529
00000037,-0.597747,0.033817,0.273998,23.450871,167.282104,-104.167549
00000038,-0.591842,0.035222,0.274252,20.331310,165.568726,-103.928322
00000039,-0.562878,0.050351,0.241059,22.751919,164.335663,-105.500107
00000040,-0.530155,0.073245,0.180425,18.683353,162.225540,-105.316872
00000041,-0.485047,0.095995,0.076247,18.571663,159.600815,-106.080200
00000042,-0.443498,0.092280,-0.061491,15.945034,157.073608,-106.218819
00000043,-0.404037,0.085896,-0.179737,15.116405,155.513062,-106.112434
00000044,-0.360915,0.077463,-0.258430,14.744845,154.031586,-105.134781
00000045,-0.311656,0.064596,-0.343689,17.292681,152.258118,-104.948601
00000046,-0.297497,0.054337,-0.414267,19.176073,150.880173,-105.362610
00000047,-0.319955,0.048255,-0.488739,18.096237,151.234726,-105.322273
00000048,-0.341580,0.030798,-0.576569,11.569476,149.566742,-105.504860
00000049,-0.299980,0.022819,-0.693047,6.868260,149.023376,-103.986908
00000050,-0.234848,0.022181,-0.812266,7.927837,148.101669,-103.916397
00000051,-0.209169,0.042691,-0.923903,5.971296,149.878799,-104.701645
00000052,-0.202374,0.053425,-1.016829,-0.881990,151.276718,-105.305016
00000053,-0.203588,0.064336,-1.106841,-5.958389,151.326355,-104.238243
00000054,-0.177020,0.059584,-1.216713,-6.656963,150.671387,-103.843704
00000055,-0.160442,0.038603,-1.322103,-6.680848,146.748367,-105.387161
00000056,-0.183483,0.009329,-1.396679,-11.708730,144.320984,-105.520035
00000057,-0.200385,-0.014908,-1.467329,-17.078241,140.462418,-104.583801
00000058,-0.188618,-0.062503,-1.516850,-19.565683,134.209137,-104.090614
00000059,-0.171685,-0.100303,-1.577510,-19.091244,130.142410,-104.549904
00000060,-0.154628,-0.110215,-1.675856,-14.552739,128.732315,-103.570824
00000061,-0.142282,-0.061434,-1.766867,-14.608537,134.557373,-104.355408
00000062,-0.160066,-0.010708,-1.838509,-16.907923,143.278275,-105.326180
00000063,-0.183212,0.049500,-1.919004,-19.279924,150.204941,-104.238937
00000064,-0.160086,0.091209,-1.985948,-16.484493,154.651794,-104.022713
00000065,-0.050936,0.126083,-2.066047,-4.160917,160.350647,-102.813286
00000066,-0.007015,0.185495,-2.148316,-0.745709,168.972900,-103.282173
00000067,-0.015453,0.204800,-2.198636,-1.821965,174.476868,-103.216888
00000068,0.012983,0.207040,-2.243680,-0.061319,174.849808,-104.405289
00000069,0.086257,0.168435,-2.260949,7.770405,168.474472,-102.711288
00000070,0.178886,0.109606,-2.301101,18.677197,157.629013,-102.132256
00000071,0.204928,0.074903,-2.346306,20.291193,150.452560,-104.503685
00000072,0.237565,0.050342,-2.376171,20.030241,146.865967,-104.496872
00000073,0.300922,0.052045,-2.379287,24.120384,148.183838,-102.659607
00000074,0.387373,0.035333,-2.387175,36.456329,146.713730,-100.372070
00000075,0.447947,0.036894,-2.415193,43.915718,142.581879,-104.015282
00000076,0.517269,0.033119,-2.477137,47.061535,140.679367,-105.331726
00000077,0.599661,0.031437,-2.552503,46.715172,141.233963,-103.972046
00000078,0.691260,0.024868,-2.600811,46.455055,141.853546,-102.403198
00000079,0.800843,0.038158,-2.630275,50.694088,141.846222,-103.742302
00000080,0.896895,0.060659,-2.662362,54.548279,142.136246,-106.279922
00000081,0.938175,0.060499,-2.705940,54.466331,143.827881,-105.313820
00000082,0.988834,0.066153,-2.769634,51.689571,146.517944,-103.481888
00000083,1.058210,0.088912,-2.809348,51.414078,150.576965,-101.778786
00000084,1.159240,0.103924,-2.815138,55.073956,150.762894,-102.298920
00000085,1.250770,0.101046,-2.843910,57.358257,151.295197,-103.196236
00000086,1.272913,0.101322,-2.885068,56.433491,151.763382,-102.611717
00000087,1.301383,0.114080,-2.935788,54.913185,153.651825,-101.053200
00000088,1.323613,0.118288,-2.960156,53.759361,155.260635,-100.527016
